序号,物质名称,GB 标准号,日期和状态,分类,描述,标签
42,dl-酒石酸,GB1886.42-2015,,酸度调节剂,用于调节食品的酸度，通常安全，长期接触需注意摄入量及可能的过敏反应。,安全
43,抗坏血酸钙,GB1886.43-2015,,营养强化剂,用于增强食品中的维生素C含量，通常安全，无明显过敏性，长期摄入对健康有益。,安全
44,抗坏血酸钠,GB1886.44-2016,,抗氧化剂,用于防止食品氧化变质，通常安全，但长期接触需监测健康状况，特别是对过敏人群。,安全
45,氯化钙,GB1886.45-2016,,添加剂,用于防止食品水分流失，通常安全，需注意剂量及使用方法，以避免对健康造成影响。,安全
46,低亚硫酸钠,GB1886.46-2015,,防腐剂,用于防止食品变质，部分人群可能对其过敏，建议避免在敏感人群中使用。,易过敏
47,天门冬酰苯丙氨酸甲酯（又名阿斯巴甜）,GB1886.47-2016,,甜味剂,用于代糖，通常安全，但部分人群可能对其敏感，长期高剂量需注意使用。,易过敏
48,玫瑰油,GB1886.48-2015,,食品用香料,用于增加食品香气，通常安全，但部分人群可能过敏，长期接触需谨慎。,易过敏
49,D-异抗坏血酸,GB1886.49-2016,,抗氧化剂,用于防止食品氧化，通常安全，无明显过敏性，长期接触对健康影响较小。,安全
50,2-甲基-3-巯基呋喃,GB1886.50-2015,,食品用香料,用于增加食品香气，通常安全，部分人群可能敏感，长期接触需监测健康。,易过敏
51,"2,3-丁二酮",GB1886.51-2015,,食品用香料,用于增加食品香气，通常安全，无明显过敏性，长期接触需注意监测。,安全
52,植物油抽提溶剂（又名己烷类溶剂）,GB1886.52-2015,,添加剂,用于食品提取，通常安全，但需注意残留量及使用方法，以避免健康风险。,安全
53,己二酸,GB1886.53-2015,,酸度调节剂,用于调节食品的酸度，通常安全，无明显过敏性，长期接触需监测。,安全
54,丙烷,GB1886.54-2015,,添加剂,用于食品加工，通常安全，但需注意剂量，以免影响健康。,安全
55,丁烷,GB1886.55-2015,,添加剂,用于食品加工，通常安全，过量可能对健康产生负面影响，需注意剂量。,安全
56,1-丁醇（正丁醇）,GB1886.56-2015,,添加剂,用于食品加工，通常安全，但需注意剂量及使用方式，以减少风险。,安全
57,单辛酸甘油酯,GB1886.57-2016,,乳化剂,用于改善食品的质地和稳定性，通常安全，无明显过敏性，长期接触需监测。,安全
58,乙醚,GB1886.58-2015,,溶剂,用于食品加工，通常安全，但需注意使用量，以避免健康风险。,安全
59,石油醚,GB1886.59-2015,,溶剂,用于食品加工，通常安全，但需注意使用量，避免残留对健康产生影响。,安全
60,姜黄,GB1886.60-2015,,着色剂,用于食品着色，通常安全，但需注意剂量，过量可能影响健康。,安全
61,红花黄,GB1886.61-2015,,着色剂,用于食品着色，通常安全，无明显过敏性，需注意剂量及使用方法。,安全
62,硅酸镁,GB1886.62-2015,,添加剂,用于改善食品的质地和稳定性，通常安全，无明显过敏性，长期使用需监测。,安全
63,膨润土,GB1886.63-2015,,添加剂,用于改善食品的质地，通常安全，无明显过敏性，长期使用需监测健康。,安全
64,焦糖色,GB1886.64-2015,,着色剂,用于食品着色，通常安全，但需注意剂量，过量可能对健康有影响。,安全
65,单，双甘油脂肪酸酯,GB1886.65-2015,,乳化剂,用于改善食品的质地和稳定性，通常安全，无明显过敏性，长期使用需监测。,安全
66,红曲黄色素,GB1886.66-2015,,着色剂,用于食品着色，通常安全，无明显过敏性，需注意来源和成分。,安全
67,皂荚糖胶,GB1886.67-2015,,增稠剂,用于改善食品的质地，通常安全，无明显过敏性，长期接触需监测健康。,安全
68,二甲基二碳酸盐（又名维果灵）,GB1886.68-2015,,添加剂,用于食品加工，通常安全，无明显过敏性，长期接触需监测。,安全
69,天门冬酰苯丙氨酸甲酯乙酰磺胺酸,GB1886.69-2016,,甜味剂,用于代糖，通常安全，但部分人群可能敏感，需长期监测。,易过敏
70,沙蒿胶,GB1886.70-2015,,增稠剂,用于改善食品的质地，通常安全，无明显过敏性，长期接触需监测健康。,安全
71,"1,2-二氯乙烷",GB1886.71-2015,,添加剂,用于食品加工，需谨慎使用，过量可能对健康产生负面影响。,安全
72,聚氧乙烯聚氧丙烯胺醚,GB1886.72-2016,,添加剂,用于改善食品的质地，通常安全，无明显过敏性，长期使用需监测。,安全
73,不溶性聚乙烯聚吡咯烷酮,GB1886.73-2015,,添加剂,用于食品加工，通常安全，无明显过敏性，长期使用需监测。,安全
74,柠檬酸钾,GB1886.74-2015,,酸度调节剂,用于调节食品的酸度，通常安全，无明显过敏性，长期接触需监测。,安全
75,L-半胱氨酸盐酸盐,GB1886.75-2016,,营养强化剂,用于增强食品中的氨基酸，通常安全，无明显过敏性，长期摄入对健康有益。,安全
76,姜黄素,GB1886.76-2015,,着色剂,用于食品着色，通常安全，但需注意来源及使用剂量。,安全
77,罗汉果甜苷,GB1886.77-2016,,甜味剂,用于代糖，通常安全，但部分人群可能敏感，需长期监测。,易过敏
78,番茄红素（合成）,GB1886.78-2016,,着色剂,用于食品着色，通常安全，无明显过敏性，长期接触需监测健康。,安全
79,硫代二丙酸二月桂酯,GB1886.79-2015,,添加剂,用于食品加工，通常安全，但需注意剂量和使用方法。,安全
80,乙酰化单、双甘油脂肪酸酯,GB1886.80-2015,,乳化剂,用于改善食品的质地，通常安全，无明显过敏性，长期使用需监测。,安全
81,月桂酸,GB1886.81-2015,,添加剂,用于食品加工，常作为表面活性剂使用，具有抗菌特性，通常安全，无明显过敏性。,安全
82,铵磷脂,GB1886.82-2016,,乳化剂,用于改善食品的质地和稳定性，广泛应用于乳制品和调味品中，通常安全，无明显过敏性。,安全
83,巴西棕榈蜡,GB1886.83-2015,,添加剂,用于食品加工，常用于巧克力和糖果的外层，通常安全，无明显过敏性。,安全
84,冰乙酸（低压羰基化法）,GB1886.84-2016,,添加剂,用于食品加工，通常用作酸味剂，提升风味，通常安全，无明显过敏性。,安全
85,刺云实胶,GB1886.85-2015,,增稠剂,用于改善食品的质地，常用于奶制品和肉制品中，通常安全，无明显过敏性。,安全
86,蜂蜡,GB1886.86-2015,,添加剂,用于食品加工，常用作涂层以延长保质期，通常安全，无明显过敏性。,安全
87,富马酸一钠,GB1886.87-2015,,酸度调节剂,用于调节食品的酸度，广泛应用于饮料和调味品中，通常安全，无明显过敏性。,安全
88,甘草抗氧化物,GB1886.88-2015,,抗氧化剂,用于防止食品氧化，延长保质期，通常安全，无明显过敏性。,安全
89,硅酸钙,GB1886.89-2015,,添加剂,用于食品加工，常用作抗结剂和填充剂，通常安全，无明显过敏性。,安全
90,硬脂酸镁,GB1886.90-2016,,添加剂,用于食品加工，常用作分离剂，确保产品均匀性，通常安全，无明显过敏性。,安全
91,硬脂酰乳酸钠,GB1886.91-2016,,添加剂,用于食品加工，常用于改良面团的特性，通常安全，无明显过敏性。,安全
92,乳酸脂肪酸甘油酯,GB1886.92-2015,,乳化剂,用于改善食品的质地，通常用于烘焙和乳制品中，通常安全，无明显过敏性。,安全
93,亚硝酸钾,GB1886.93-2016,,防腐剂,用于防止食品腐败，常用于腌制肉类中，通常安全，但需注意剂量。,安全
94,聚甘油蓖麻醇酸酯（PGPR）,GB1886.94-2015,,乳化剂,用于改善食品的质地，特别是巧克力和涂层，通常安全，无明显过敏性。,安全
95,松香季戊四醇酯,GB1886.95-2024,,增稠剂,用于改善食品的质地，常用于调味品和酱料中，通常安全，无明显过敏性。,安全
96,5’-肌苷酸二钠,GB1886.96-2015,,调味剂,用于增强食品风味，广泛应用于肉类和调味品中，通常安全，无明显过敏性。,安全
97,乳糖醇（又名4-β-D吡喃半乳糖-D-山梨醇）,GB1886.97-2024,,甜味剂,用于代糖，常用于无糖食品中，通常安全，但部分人群可能敏感。,易过敏
98,"L-α-天冬氨酰-N-（2,2,4,4-四甲基-3-硫化三亚甲基）-D-丙氨酰胺（又名阿力甜）",GB1886.98-2015,,甜味剂,用于代糖，常用于低热量食品中，通常安全，但部分人群可能敏感。,易过敏
99,乙二胺四乙酸二钠,GB1886.99-2015,,添加剂,用于食品加工，常用作金属离子螯合剂，通常安全，无明显过敏性。,安全
100,硬脂酸（又名十八烷酸）,GB1886.100-2016,,添加剂,用于食品加工，常用于改善口感，通常安全，无明显过敏性。,安全
101,硬脂酸钙,GB1886.101-2016,,乳化剂,用于提高食品的稳定性，帮助脂肪和水分均匀混合，通常被认为安全。,安全
102,微晶纤维素,GB1886.102-2015,,填充剂,用于增加食品的体积和质感，常用于低热量食品中，通常安全。,安全
103,喹啉黄,GB1886.103-2024,,着色剂,用于食品着色，需注意可能引起的过敏反应，适量使用是安全的。,安全 易过敏
104,辣椒橙,GB1886.104-2016,,着色剂,用于食品中提供红色或橙色，通常安全，注意过量使用可能导致的不良反应。,安全
105,罗望子多糖胶,GB1886.105-2015,,增稠剂,用于增加食品的粘稠度和口感，常用于调味品中，通常安全，是广泛使用的食品添加剂。,安全
106,柠檬酸一钠,GB1886.106-2015,,酸度调节剂,用于调节食品酸度，提升风味，通常安全，适合各种食品中使用。,安全
107,偶氮甲酰胺,GB1886.107-2015,,膨松剂,用于提升食品的发酵效果，确保食品松软口感，需严格按照规定剂量使用。,安全
108,羟丙基甲基纤维素（HPMC）,GB1886.108-2015,,增稠剂,用于增加食品的粘稠度，提供良好的质感，通常安全，不会引起过敏反应。,安全
109,天然苋菜红,GB1886.109-2015,,着色剂,用于食品着色，天然来源，通常安全，适合健康食品中使用。,安全
110,甜菜红,GB1886.110-2015,,着色剂,用于食品着色，来源于甜菜，通常安全，色泽鲜艳，适合多种食品。,安全
111,聚氧乙烯木糖醇酐单硬脂酸酯,GB1886.111-2015,,乳化剂,用于改善食品的质感和稳定性，通常安全，适用于多种配方。,安全
112,菊花黄浸膏,GB1886.112-2015,,着色剂,用于食品着色，通常安全，来自天然植物，适合健康食品使用。,安全
113,紫胶（又名虫胶）,GB1886.113-2015,,着色剂,用于食品着色，通常安全，但需注意个别过敏反应。,安全
114,黑豆红,GB1886.114-2015,,着色剂,用于提供红色，通常安全，适合各种食品中使用。,安全
115,木糖醇酐单硬脂酸酯,GB1886.115-2015,,乳化剂,用于提高食品的稳定性和口感，通常安全，适合多种食品配方。,安全
116,羟基香茅醛,GB1886.116-2015,,食品用香料,用于增加食品香气，通常安全，适合多种食品使用。,安全
117,杭白菊花浸膏,GB1886.117-2015,,食品用香料,用于增加食品香气，通常安全，具有独特风味。,安全
118,"1,8-桉叶素",GB1886.118-2015,,食品用香料,用于增加食品香气，通常安全，常见于香料类食品中。,安全
119,己酸,GB1886.119-2015,,食品用香料,用于增加食品香气，通常安全，常见于多种食品中。,安全
120,丁酸,GB1886.120-2015,,食品用香料,用于增加食品香气，通常安全，适合多种食品配方。,安全
121, 桃醛（又名γ-十一烷内酯）, GB1886.122-2015,, 食品用香料, 用于增加食品香气，通常用于甜味食品，具有良好的风味提升效果，安全性高，适合各种甜品的调味使用。, 安全
122, α-己基肉桂醛, GB1886.123-2015,, 食品用香料, 用于增加食品香气，常见于甜点，具备独特的香甜味道，能够增强食品的风味，通常安全，广泛应用于各类甜品中。, 安全
123, 广藿香油, GB1886.124-2015,, 食品用香料, 用于增加食品香气，具有浓郁的香气和独特的风味，通常安全，适合多种食品的调味，特别是亚洲料理。, 安全
124, 肉桂醇, GB1886.125-2015,, 食品用香料, 用于增加食品香气，适合多种食品，特别是在烘焙食品中表现突出，通常安全，能够增添温暖的香甜味道。, 安全
125, 乙酸芳樟酯, GB1886.126-2015,, 食品用香料, 用于增加食品香气，特别适合甜点和饮料，通常安全，能够提供清新的花果香味，提升整体口感。, 安全
126, 山楂核烟熏香味料I号、II号, GB1886.127-2016,, 食品用香料, 用于增加食品香气，适合多种食品使用，通常安全，能够带来独特的烟熏风味，提升食品的风味层次。, 安全
127, 甲基环戊烯醇酮（又名3-甲基-2-羟基-2-环戊烯-1-酮）, GB1886.128-2015,, 食品用香料, 用于增加食品香气，通常安全，特别适合用于香料类食品，能有效提升香气的复杂度。, 安全
128, 丁香酚, GB1886.129-2022,, 食品用香料, 用于增加食品香气，适合多种食品，具有浓郁的香味，通常安全，常用于烘焙和甜点。, 安全
129, 庚酸乙酯, GB1886.130-2015,, 食品用香料, 用于增加食品香气，通常安全，适合甜点，能够提供甜美的果香，提升风味。, 安全
130, α-戊基肉桂醛, GB1886.131-2015,, 食品用香料, 用于增加食品香气，通常安全，适合甜点及饮料，能带来香甜的肉桂味。, 安全
131, 己酸烯丙酯, GB1886.132-2015,, 食品用香料, 用于增加食品香气，适合多种食品使用，通常安全，能够增添清新的果香味。, 安全
132, 枣子酊, GB1886.133-2015,, 食品用香料, 用于增加食品香气，通常安全，适合多种食品，能够提供自然的枣香风味。, 安全
133, γ-壬内酯, GB1886.134-2015,, 食品用香料, 用于增加食品香气，通常安全，常见于饮料和甜点中，能增添温和的果香。, 安全
134, 苯甲醇, GB1886.135-2015,, 食品用香料, 用于增加食品香气，具有良好的溶解性，适合多种食品，通常安全，能够增强整体风味。, 安全
135, 丁酸苄酯, GB1886.136-2015,, 食品用香料, 用于增加食品香气，通常安全，常用于糖果和香水，能够提供甜美的果香。, 安全
136, 十六醛（又名杨梅醛）, GB1886.137-2015,, 食品用香料, 用于增加食品香气，通常安全，适合多种甜点，能带来丰富的果香味。, 安全
137, 2-乙酰基吡嗪, GB1886.138-2015,, 食品用香料, 用于增加食品香气，通常安全，常见于烘焙食品，能够提供独特的坚果香气。, 安全
138, 百里香酚, GB1886.139-2015,, 食品用香料, 用于增加食品香气，通常安全，适合肉类和调味品，能提供独特的香草风味。, 安全
139, 八角茴香油, GB1886.140-2015,, 食品用香料, 用于增加食品香气，通常安全，适合多种食品，尤其是亚洲菜肴，能够增添温暖的香料味。, 安全
140, d-核糖, GB1886.141-2016,, 营养强化剂, 用于提高食品的营养价值，通常安全，适合健康食品中使用，能够增强能量补充效果。, 安全
141, α-紫罗兰酮, GB1886.142-2015,, 食品用香料, 用于增加食品香气，通常安全，适合甜点和饮料，能够提供甜美的花香。, 安全
142, γ-癸内酯, GB1886.143-2015,, 食品用香料, 用于增加食品香气，通常安全，适合多种食品中使用，能够提供浓郁的果香味。, 安全
143, γ-己内酯, GB1886.144-2015,, 食品用香料, 用于增加食品香气，通常安全，常见于乳制品和烘焙食品中，能够提供独特的奶香味。, 安全
144, δ-癸内酯, GB1886.145-2015,, 食品用香料, 用于增加食品香气，通常安全，适合多种食品，尤其是糖果和饮料，能带来甜美的口感。, 安全
145, δ-十二内酯, GB1886.146-2015,, 食品用香料, 用于增加食品香气，通常安全，适合于烘焙和饮料中，能够提供细腻的香气。, 安全
146, 二氢香芹醇, GB1886.147-2015,, 食品用香料, 用于增加食品香气，通常安全，常用于调味品和香水，能够增添独特的香草香气。, 安全
147, 芳樟醇, GB1886.148-2015,, 食品用香料, 用于增加食品香气，通常安全，适合多种食品，特别是烘焙产品，能够提供甜美的花香味。, 安全
148, 己醛, GB1886.149-2015,, 食品用香料, 用于增加食品香气，通常安全，常见于调味品和饮料，能够增强整体风味。, 安全
149, 甲酸香茅酯, GB1886.150-2015,, 食品用香料, 用于增加食品香气，通常安全，适合在饮料和糖果中使用，能够提供清新的香气。, 安全
150, 甲酸香叶酯, GB1886.151-2015,, 食品用香料, 用于增加食品香气，通常安全，适合多种甜点和饮料中，能够增强风味的复杂度。, 安全
151, 辛酸乙酯, GB1886.152-2015,, 食品用香料, 用于增加食品香气，通常安全，适合多种食品，尤其是乳制品中，能够提供独特的奶香味。, 安全
152, 乙酸2-甲基丁酯, GB1886.153-2015,, 食品用香料, 用于增加食品香气，通常安全，适合于甜点和饮料中，能够增添甜美的口感。, 安全
153, 乙酸丙酯, GB1886.154-2015,, 食品用香料, 用于增加食品香气，通常安全，适合多种食品中使用，能够提供清新的果香。, 安全
154, 乙酸橙花酯, GB1886.155-2015,, 食品用香料, 用于增加食品香气，通常安全，适合在香水和甜点中使用，能够增添浓郁的花香味。, 安全
155, 乙酸松油酯, GB1886.156-2015,, 食品用香料, 用于增加食品香气，通常安全，适合于多种食品和饮料中，能够提供温暖的松木香气，常见于香料和调味品中。, 安全
156, 乙酸香叶酯, GB1886.157-2015,, 食品用香料, 用于增加食品香气，通常安全，适合多种食品中使用，能够带来清新的香叶味，常见于饮料和甜品中。, 安全
157, 异丁酸乙酯, GB1886.158-2015,, 食品用香料, 用于增加食品香气，通常安全，适合多种甜点和饮料中，能增添果香风味，常用于冰淇淋和糖果中。, 安全
158, 异戊酸3-己烯酯, GB1886.159-2015,, 食品用香料, 用于增加食品香气，通常安全，常见于香水和调味品中，能提供甜美的果香，增加产品的吸引力。, 安全
159, 正癸醛（又名癸醛）, GB1886.160-2015,, 食品用香料, 用于增加食品香气，通常安全，适合多种食品中使用，具有独特的坚果香气，提升食品的风味层次。, 安全
160, 棕榈酸乙酯, GB1886.161-2015,, 食品用香料, 用于增加食品香气，通常安全，适合于乳制品和糖果中，能够提供甜美的口感和奶香。, 安全
161, 2,6-二甲基-5-庚烯醛, GB1886.162-2015,, 食品用香料, 用于增加食品香气，通常安全，适合多种烘焙食品，能增添独特的香甜味道。
162, 2-甲基-4-戊烯酸, GB1886.163-2015,, 食品添加剂, 用于食品的酸度调节，通常安全，适合多种食品中使用，能够提供平衡的酸甜口感。, 安全
163, 2-甲基丁酸2-甲基丁酯, GB1886.164-2015,, 食品用香料, 用于增加食品香气，通常安全，适合甜点和饮料中，能够提供甜美的香气。, 安全
164, 2-甲基丁酸3-己烯酯, GB1886.165-2015,, 食品用香料, 用于增加食品香气，通常安全，适合于多种食品中使用，能够增添复杂的香气。, 安全
165, γ-庚内酯, GB1886.166-2015,, 食品用香料, 用于增加食品香气，通常安全，适合多种食品中使用，能带来丰富的果香和甜味。, 安全
166, 大茴香脑, GB1886.167-2015,, 食品用香料, 用于增加食品香气，通常安全，适合于亚洲菜肴和调味品，能够提供浓郁的香料味道。, 安全
167, γ-十二内酯, GB1886.168-2015,, 食品用香料, 用于增加食品香气，通常安全，适合多种食品中使用，能够增添温和的香甜味。, 安全
168, 卡拉胶, GB1886.169-2016,, 食品添加剂, 用于增稠和稳定食品，通常安全，适合多种食品中使用，能够改善食品的质地和口感。, 安全
169, 5′-鸟苷酸二钠, GB1886.170-2016,, 食品添加剂, 用于增强食品的鲜味，通常安全，适合多种食品中使用，能够提升整体风味的复杂度。, 安全
170, 5′-呈味核苷酸二钠（又名呈味核苷酸二钠）, GB1886.171-2016,, 食品添加剂, 用于增强食品的鲜味，通常安全，适合多种食品中使用，能提高菜肴的鲜美程度。, 安全
171, 迷迭香提取物, GB1886.172-2016,, 抗氧化剂, 从迷迭香植物中提取的天然物质，具有抗氧化等作用，能够延长食品的保质期和提高风味。, 安全
172, 乳酸, GB1886.173-2016,, 酸度调节剂, 一种有机酸，可调节食品的酸度，通常安全，适合多种食品使用，能增强风味和口感。, 安全
173, 食品工业用酶制剂, GB1886.174-2024,, 酶制剂, 在食品加工过程中起到催化作用，通常安全，能够提高食品的营养价值和加工效率。, 安全
174, 亚麻籽胶（又名富兰克胶）, GB1886.175-2016,, 增稠剂, 具有良好的增稠性能，可改善食品的质地，通常安全，适合多种食品中使用。, 安全
175, 异构化乳糖液, GB1886.176-2016,, 甜味剂, 具有一定甜度，可作为甜味剂使用，通常安全，适合健康食品中使用。, 安全
176, D-甘露糖醇, GB1886.177-2016,, 甜味剂, D-甘露糖醇具有一定甜度，可作为甜味剂，通常安全，适合多种食品中使用。, 安全
177, 聚甘油脂肪酸酯, GB1886.178-2016,, 乳化剂, 具有乳化作用，可改善食品质地，通常安全，适合多种食品和饮料中使用。, 安全
178, 硬脂酰乳酸钙, GB1886.179-2016,, 乳化剂, 在食品中起到乳化稳定作用，通常安全，适合多种乳制品和糕点中。, 安全
179, 红曲红, GB1886.181-2016,, 着色剂, 天然红色着色剂，色泽鲜艳，通常安全，适合多种食品中使用，以增加视觉吸引力。, 安全
180, 异麦芽酮糖, GB1886.182-2016,, 甜味剂, 甜度适中，可作为甜味剂使用，通常安全，适合健康食品和低卡路里产品。, 安全
181, 苯甲酸, GB1886.183-2016,, 防腐剂, 具有防腐作用，延长食品保质期，通常安全，广泛用于各种加工食品中。, 安全
182, 苯甲酸钠, GB1886.184-2016,, 防腐剂, 常用的食品防腐剂，能够有效抑制细菌生长，通常安全，适合多种食品使用。, 安全
183, 琥珀酸单甘油酯, GB1886.185-2016,, 乳化剂, 可改善食品的乳化状态，通常安全，适合多种乳制品和调味品中使用。, 安全
